uhrzeit,visitors
22:37:19,0
23:08:26,1
23:08:26,2
23:08:26,3
23:08:26,4
23:08:27,5
23:08:27,6
23:08:27,7
23:08:27,8
23:16:13,9
23:16:14,8
23:18:45,9
23:18:46,10
23:18:46,11
23:18:46,12
23:22:25,13
23:22:26,14
23:22:26,15
23:22:26,16
23:22:26,17
23:22:26,18
23:22:26,19
23:22:27,20
23:22:27,21
23:22:44,22
23:22:45,23
23:22:52,24
23:22:52,25
23:22:53,26
23:22:53,27
23:22:53,28
23:22:53,29
23:22:53,30
23:22:54,31
23:22:54,32
23:22:54,33
23:22:54,34
23:22:54,35
23:22:54,36
23:22:54,37
23:22:55,38
23:22:55,39
23:22:55,40
23:22:55,41
23:22:55,42
23:22:56,43
23:22:56,44
23:22:56,45
23:22:56,46
23:22:56,47
23:22:56,48
23:22:57,49
23:22:57,50
23:22:57,51
23:22:57,52
23:22:57,53
23:22:58,54
23:22:58,55
23:22:58,56
23:22:58,57
23:22:58,58
23:22:58,59
23:22:59,60
23:22:59,61
23:22:59,62
23:22:59,63
23:22:59,64
23:23:00,65
23:23:00,66
23:23:00,67
23:23:00,68
23:23:00,69
23:23:01,70
23:23:01,71
23:23:01,72
23:23:01,73
23:23:01,74
23:23:01,75
23:23:02,76
23:23:02,77
23:23:02,78
23:23:02,79
23:23:02,80
23:23:03,81
23:23:03,82
23:23:03,83
23:23:03,84
23:23:03,85
23:23:03,86
23:23:04,87
23:23:04,88
23:23:04,89
23:23:04,90
23:23:05,91
23:23:05,92
23:23:05,93
23:23:05,94
23:23:05,95
23:23:06,96
23:23:06,97
23:23:06,98
23:23:06,99
23:23:06,100
23:23:07,101
23:23:07,102
23:23:07,103
23:23:07,104
23:23:08,105
23:23:08,106
23:23:08,107
23:23:08,108
23:23:09,109
23:23:09,110
23:23:09,111
23:23:09,112
23:23:10,113
23:23:10,114
23:23:10,115
23:23:10,116
23:23:10,117
23:23:11,118
23:23:11,119
23:23:11,120
23:23:11,121
23:23:12,122
23:23:12,123
23:23:12,124
23:23:12,125
23:23:12,126
23:23:12,127
23:23:13,128
23:23:13,129
23:23:13,130
23:23:13,131
23:23:13,132
23:23:13,133
23:23:14,134
23:23:14,135
23:23:14,136
23:23:14,137
23:23:14,138
23:23:15,139
23:23:15,140
23:23:15,141
23:23:15,142
23:23:15,143
23:23:16,144
23:23:16,145
23:23:16,146
23:23:16,147
23:23:17,148
23:23:17,149
23:23:17,150
23:23:17,151
23:23:18,152
23:23:18,153
23:23:18,154
23:23:18,155
23:23:18,156
23:23:19,157
23:23:19,158
23:28:10,159
23:28:11,160
